The Great Train Robbery,A group of bandits stage a brazen train hold-up, only to find a determined detective is on their tail.,1903
Inception,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a CEO.,2010
The Godfather,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,1972
